fico_score,loan_total,default_total,dti,avg_loan_amnt,median_annual_inc,avg_annual_inc,int_rate,default_rate,actual_default_rate
500,3385,2997,19.728762186115198,13692.311669128509,63511.20581388479,63511.20581388479,15.341982274741431,2.4725886691582306,0.5244149544877111
510,7745,6767,19.749380245319706,13861.323434473854,65471.300058102,65471.300058102,15.439957391866415,5.582918760158074,1.1840894217612083
520,9168,7813,20.05265052356007,14199.157395287959,68391.2964430628,68391.2964430628,15.33181391797587,6.445890981692778,1.3671184649357648
530,10323,8672,20.223831250605443,14501.266589169814,69136.2510704253,69136.2510704253,15.457357357357429,7.154584230543937,1.5174262546938375
540,11562,9475,20.730541428818476,14782.76898460474,70258.73295796575,70258.73295796575,15.273069538142073,7.81707628971446,1.6579351664234445
550,12003,9507,20.762790135799328,14856.41089727568,70136.18316504208,70136.18316504208,15.049104390568678,7.843476969531965,1.6635345252968534
560,11892,9099,20.91338378742021,15092.768247561386,72616.14894887317,72616.14894887317,14.922037504204347,7.5068683018587725,1.5921426996608887
570,11617,8503,20.695902556598092,15092.338813807351,72701.49555651203,72701.49555651203,14.848253421709426,7.015155640257737,1.4878546406436464
580,11053,7542,20.67304532706051,15000.959015651859,73176.0150619741,73176.0150619741,14.786092463584636,6.222310224488281,1.3196988944765824
590,10242,6448,20.69510935364184,14893.177602030853,72209.68848857646,72209.68848857646,14.740222612771241,5.319736983227318,1.1282708129919126
600,9838,5493,20.461116080504127,14570.347123399064,73698.9734244765,73698.9734244765,14.553126651758793,4.531841694923644,0.9611649466136127
610,10145,4874,20.333898472153777,14174.627895515032,71332.11391917198,71332.11391917198,14.439570231641477,4.021153544703776,0.8528523484061076
620,10360,4184,20.087172779922785,14019.995173745174,71833.72583108109,71833.72583108109,14.414350386100658,3.451888886138818,0.732116172698226
630,11159,3481,19.681968814409885,13861.855901066403,72620.53989425575,72620.53989425575,14.14633569316269,2.8718989513979984,0.6091052574480221
640,13053,2740,19.421103194667932,13424.214739906534,72820.8058729794,72820.8058729794,14.017229755611572,2.2605582093738916,0.4794451035356452
650,16101,2165,19.17961058319363,13173.877398919321,74241.49464505308,74241.49464505308,13.772378734239508,1.786170993903093,0.3788316237790773
660,23833,3828,19.035924558385528,12968.018084169009,72824.28103344102,72824.28103344102,13.962213317667269,3.1581813231690714,0.669823305231551
670,31439,4919,19.04054391042966,13269.534654410127,73651.31464518588,73651.31464518588,13.860684500141497,4.058279500697143,0.860726446821839
680,35471,3658,19.029945025513836,13626.067068873164,75649.00955061882,75649.00955061882,13.397701502634172,3.0179277116385745,0.6400767112165657
690,37792,2699,18.846246030905895,14041.430726079594,78067.62267040648,78067.62267040648,13.02844067527334,2.2267323383577127,0.4722709249790899
700,37823,1919,18.982052983634272,14442.679057716205,78883.135225392,78883.135225392,12.680091743117554,1.5832157678060212,0.33578655243974564
710,36942,1435,18.63584050674019,14661.166829083428,79405.34681175894,79405.34681175894,12.251221374044256,1.1839054855662534,0.2510962494794346
720,35390,956,18.47713930488849,14938.22195535462,80297.53279316191,80297.53279316191,11.890858717150332,0.7887203095479708,0.1672808463430937
730,31196,568,18.284178420310198,14949.969547377868,80728.78979099884,80728.78979099884,11.459430055134193,0.4686120667607191,0.09938862000300965
740,25889,420,18.0676360616478,15086.408320135964,79788.95853605779,79788.95853605779,11.10971416431632,0.3465089226047571,0.07349158521349305
750,21570,283,17.821381084840127,15306.891515994437,81570.64994158557,81570.64994158557,10.89033101529856,0.2334810121360625,0.049519330036710794
760,18267,219,17.637800952537383,15339.189522089013,80062.61176821594,80062.61176821594,10.579146548420571,0.18067965250105192,0.03832061228989281
770,16103,161,17.569961497857534,15379.922995715084,80263.64468049433,80263.64468049433,10.224282431845342,0.13282842033182354,0.028171774331839004
780,14422,129,17.66198793509928,15604.628345583136,80156.5356836777,80156.5356836777,10.001372902510441,0.10642774051431825,0.02257241545843001
790,11900,88,17.50727394957973,15714.23319327731,81224.5822487395,81224.5822487395,9.607463865547183,0.07260186949813958,0.015398236901874736
800,9536,70,16.901680998322178,16270.003145973154,85300.3157246225,85300.3157246225,9.240810612416727,0.057751487100792843,0.012248597535582174
810,7018,50,16.701919350242196,16970.775149615274,89157.62592476486,89157.62592476486,8.882666001709657,0.04125106221485203,0.008748998239701555
820,4364,25,16.151530705774565,17748.149633363886,93252.02287580201,93252.02287580201,8.468418881759773,0.020625531107426015,0.004374499119850777
830,2152,13,15.83291821561337,18766.310408921934,99795.97709572493,99795.97709572493,8.096775092936745,0.010725276175861529,0.002274739542322404
840,627,6,15.195645933014369,19326.076555023923,95048.66149920256,95048.66149920256,7.646331738436962,0.004950127465782244,0.0010498797887641864
850,114,3,14.754999999999997,20587.5,89666.0,89666.0,8.043947368421051,0.002475063732891122,0.0005249398943820932
